apple,eggs,yoghurt,pulse
cumin,soup,mango,rice
lemonade,sugar,sugar,nuts
toffee,nuts,buttermilk,yoghurt
bread,bun,chocolates,jam
pulse,biscuits,nuts,bun
pulse,chocolates,fizzy,drink
turmeric,coffee,tomato,butter
bread,biscuits,salt,gems
cumin,bread,turmeric,lemonade
eggs,tang,lolly,chocolates
sausages,soup,pear,tomato
jam,biscuits,lemonade,lolly
fizzy,drink,coriander,pulse
almonds,cardamom,jam,coffee
salt,candy,maggi,lemonade
butter,biscuits,fizzy,drink
orange,butter,flour,bun
soda,maggi,candy,cardamom
biscuits,butter,chips,mango
fizzy,drink,apple,orange
milk,almonds,cardamom,pepper
butter,candy,sausages,coriander
cheese,toffee,soda,butter
rice,milk,jam,buttermilk
coriander,oil,soup,nuts
oil,coffee,biscuits,cardamom
banana,apple,potato,cereal
pepper,tomato,cheese,fizzy
candy,ketchup,maggi,butter
sugar,cumin,cheese,yoghurt
pepper,cheese,eggs,lolly
soup,tea,toffee,pear
pulse,bun,banana,rice
apple,coffee,coffee,butter
pulse,jam,biscuits,salt
soda,eggs,pepper,tomato
yoghurt,buttermilk,cheese,tea
mango,maggi,milk,toffee
bun,sausages,cardamom,cheese
cumin,apple,butter,cashews
cereal,biscuits,milk,soda
eggs,fizzy,drink,gems
almonds,turmeric,coffee,nuts
jam,pulse,pear,cashews
sausages,turmeric,chips,turmeric
cereal,flour,ketchup,apple
sugar,orange,potato,turmeric
tea,fizzy,drink,banana
eggs,butter,bread,cardamom
lolly,toffee,gems,eggs
potato,banana,tomato,cardamom
pulse,soup,fizzy,drink
potato,cashews,bread,milk
orange,candy,onion,cashews
mango,pulse,chips,milk
cheese,yoghurt,jam,rice
apple,grapes,sugar,toffee
sugar,lolly,biscuits,yoghurt
pear,salt,lemonade,milk
gems,lolly,butter,turmeric
bun,bun,bread,coriander
potato,biscuits,bun,toffee
pear,orange,bread,cheese
coffee,tang,sugar,toffee
jam,oil,turmeric,sugar
gems,butter,chocolates,cheese
grapes,soda,pepper,onion
